i,j,n_obs,final_radius_m,time_window
0,1,520,250.0,09-17
0,2,208,250.0,09-17
0,3,386,250.0,09-17
0,4,231,250.0,09-17
0,5,77,250.0,09-17
0,6,59,350.0,09-17
0,7,906,250.0,09-17
0,8,74,250.0,09-17
0,9,50,250.0,09-17
0,10,106,350.0,09-17
0,11,38,,insuficiente
1,0,1426,250.0,09-17
1,2,561,250.0,09-17
1,3,843,250.0,09-17
1,4,369,250.0,09-17
1,5,252,250.0,09-17
1,6,70,250.0,09-17
1,7,2629,250.0,09-17
1,8,375,250.0,09-17
1,9,464,250.0,09-17
1,10,114,250.0,09-17
1,11,55,250.0,09-17
2,0,275,250.0,09-17
2,1,616,250.0,09-17
2,3,1036,250.0,09-17
2,4,995,250.0,09-17
2,5,405,250.0,09-17
2,6,112,250.0,09-17
2,7,1458,250.0,09-17
2,8,576,250.0,09-17
2,9,251,250.0,09-17
2,10,96,250.0,09-17
2,11,82,300.0,09-17
3,0,891,250.0,09-17
3,1,858,250.0,09-17
3,2,1401,250.0,09-17
3,4,557,250.0,09-17
3,5,534,250.0,09-17
3,6,175,250.0,09-17
3,7,2892,250.0,09-17
3,8,578,250.0,09-17
3,9,411,250.0,09-17
3,10,143,250.0,09-17
3,11,169,250.0,09-17
4,0,321,250.0,09-17
4,1,273,250.0,09-17
4,2,633,250.0,09-17
4,3,368,250.0,09-17
4,5,472,250.0,09-17
4,6,127,250.0,09-17
4,7,1298,250.0,09-17
4,8,280,250.0,09-17
4,9,225,250.0,09-17
4,10,85,250.0,09-17
4,11,118,300.0,09-17
5,0,157,250.0,09-17
5,1,179,250.0,09-17
5,2,309,250.0,09-17
5,3,653,250.0,09-17
5,4,314,250.0,09-17
5,6,419,250.0,09-17
5,7,772,250.0,09-17
5,8,83,250.0,09-17
5,9,212,250.0,09-17
5,10,121,250.0,09-17
5,11,55,250.0,09-17
6,0,87,350.0,09-17
6,1,90,300.0,09-17
6,2,66,250.0,09-17
6,3,115,250.0,09-17
6,4,50,250.0,09-17
6,5,218,250.0,09-17
6,7,188,250.0,09-17
6,8,53,300.0,09-17
6,9,61,250.0,09-17
6,10,55,300.0,09-17
6,11,60,350.0,09-17
7,0,2405,250.0,09-17
7,1,2457,250.0,09-17
7,2,2051,250.0,09-17
7,3,3247,250.0,09-17
7,4,1760,250.0,09-17
7,5,977,250.0,09-17
7,6,317,250.0,09-17
7,8,643,250.0,09-17
7,9,556,250.0,09-17
7,10,299,250.0,09-17
7,11,98,250.0,09-17
8,0,166,250.0,09-17
8,1,658,250.0,09-17
8,2,972,250.0,09-17
8,3,717,250.0,09-17
8,4,481,250.0,09-17
8,5,169,250.0,09-17
8,6,70,300.0,09-17
8,7,599,250.0,09-17
8,9,100,250.0,09-17
8,10,80,300.0,09-17
8,11,56,400.0,09-17
9,0,63,250.0,09-17
9,1,305,250.0,09-17
9,2,247,250.0,09-17
9,3,325,250.0,09-17
9,4,142,250.0,09-17
9,5,123,250.0,09-17
9,6,53,250.0,09-17
9,7,459,250.0,09-17
9,8,84,250.0,09-17
9,10,132,250.0,09-17
9,11,51,250.0,09-17
10,0,58,300.0,09-17
10,1,99,250.0,09-17
10,2,106,250.0,09-17
10,3,170,250.0,09-17
10,4,92,250.0,09-17
10,5,52,250.0,09-17
10,6,56,300.0,09-17
10,7,232,250.0,09-17
10,8,50,300.0,09-17
10,9,158,250.0,09-17
10,11,112,300.0,09-17
11,0,63,400.0,09-17
11,1,54,250.0,09-17
11,2,60,250.0,09-17
11,3,214,250.0,09-17
11,4,51,250.0,09-17
11,5,63,250.0,09-17
11,6,72,350.0,09-17
11,7,109,250.0,09-17
11,8,61,400.0,09-17
11,9,66,250.0,09-17
11,10,66,250.0,09-17
